user,top_keywords,narasi,relation_scope,dominant_sentiment,sentiment_distribution,tweet_count,degree,degree_distribution,weighted_degree,w_degree_distribution
@prabowo,capai | konservasi | laut | rakabuming capai | sektor laut,hai di satu tahun pemerintahan presiden prabowo subianto dan wakil presiden gibran rakabuming capaian di sektor kelautan juga naik nih ... hai di satu tahun pemerintahan presiden prabowo subianto dan wakil presiden gibran rakabuming capaian di sektor kelautan juga naik nih mulai dari peluasan kawasan konservasi dimana tahun ini mencapai juta hektare hingga ... hai di satu tahun pemerintahan presiden prabowo subianto dan wakil presiden gibran rakabuming capaian di sektor kelautan juga naik nih mulai dari peluasan kawasan konservasi dimana tahun ini mencapai juta hektare ... satu tahun kabinet merah putih pemerintahan presiden dan wakil presiden berjalan berbagai kebijakan prorakyat diciptakan dan berdampak pada peningkatan kesejahteraan masyarakat melalui program asta cita ... fraksi kapan apresiasi tahun pemerintahan prabowo cepat konsisten dan berhasil jakarta ketua fraksi kapan dpr ri sekaligus wakil ketua komisi xii dpr ri putri zulkifli hasan mengapresiasi capaian satu tahun pemerintahan presiden prabowo subianto dan wakil presiden gibran rakabuming raka menurutnya tahun pertama ini telah memperlihatkan kepemimpinan yang tegas berani dan berpihak pada rakyat satu tahun pemerintahan presiden prabowo telah menunjukkan arah yang jelas pemerintah bekerja cepat konsisten dan berorientasi pada hasil nyata yang dirasakan langsung oleh masyarakat ujar putri di jakarta minggu hal pertama yang diapresiasi adalah keberhasilan mencapai swasembada pangan salah satunya dibuktikan dengan cadangan beras pemerintah mencetak rekor juta ton merupakan komitmen nyata presiden prabowo dalam memperkuat ketahanan pangan ditengah ketidakstabilan situasi global pemerintah juga mampu menjaga stabilitas ekonomi dan menjadi bukti kapasitas kepemimpinan nasional yang kuat berdasarkan laporan resmi pemerintah tahun langkah awal transformasi bangsa ekonomi indonesia tumbuh stabil di kisaran lima persen inflasi terkendali di dua persen dan angka kemiskinan turun menjadi persen terendah dalam dua dekade terakhir ini bukan capaian biasa pemerintah berhasil menyeimbangkan pertumbuhan ekonomi dengan pemerataan dan keberpihakan sosial katanya ia juga menyoroti sejumlah program prioritas yang dinilai berdampak langsung bagi masyarakat seperti makan bergizi gratis cek kesehatan gratis dan sekolah rakyat program tersebut menurutnya menunjukkan bagaimana visi presiden prabowo berfokus pada pembangunan manusia kebijakan ini bukan hanya soal bantuan tapi investasi jangka panjang untuk membangun generasi yang sehat dan produktif ujar putri politisi kapan itu menambahkan langkah pemerintah yang melibatkan lebih dari ribu umkm dan koperasi dalam rantai pasok program sosial juga menjadi bentuk nyata pemerataan ekonomi ia menyebut partisipasi pelaku usaha kecil sebagai bukti bahwa pemerintah mampu menghadirkan pertumbuhan yang inklusif putri juga menegaskan pentingnya menjaga kesinambungan arah kebijakan hilirisasi dan investasi hijau yang menjadi prioritas pemerintahan prabowo gibran menurutnya arah tersebut sejalan dengan agenda global menuju ekonomi berkelanjutan dan menjadi modal penting untuk memperkuat kemandirian energi nasional pemerintahan presiden prabowo telah membangun pondasi yang kuat bagi transformasi ekonomi hijau dpr akan terus mendukung agar kebijakan ini berjalan konsisten ujarnya putri menilai kepercayaan publik yang tinggi terhadap presiden prabowo sebagaimana tercermin dari hasil survei nasional poltracking indonesia merupakan wujud penghargaan rakyat terhadap kinerja nyata pemerintah masyarakat merasakan kehadiran negara kepemimpinan yang tegas dan berwibawa seperti ini dibutuhkan untuk membawa indonesia melangkah lebih jauh ucapnya ia menutup pernyataannya dengan optimisme bahwa kerja pemerintahan prabowo gibran ke depan akan semakin memperkuat transformasi bangsa tahun pertama ini adalah titik awal dari perjalanan panjang menuju indonesia yang lebih adil sejahtera dan berdaulat presiden prabowo telah memulai dengan langkah yang tepat kata putri zulkifli hasan,"mentioned, quoted, replied",positive,Positive: 56.9% | Negative: 26.2% | Neutral: 16.9%,313,247,in: 247 | out: 0,470.5,in: 470.5 | out: 0.0
@kem_atrbpn,kinerja berita | lengkap kunjung | pemerintah presiden,jelang satu tahun pemerintahan presiden prabowo kementerian atr bpn gelar rapim untuk pantau progres kinerja ... jelang satu tahun pemerintahan presiden prabowo kementerian atr bpn gelar rapim untuk pantau progres kinerja berita selengkapnya kunjungi,"mentioned, quoted",neutral,Neutral: 100.0%,49,39,in: 39 | out: 0,89.0,in: 89.0 | out: 0.0
@yankedaddies,langkah | maju | mandiri | nyata | sejahtera,setuju banget satu tahun kepemimpinan prabowo gibran menandai langkah baru menuju indonesia yang lebih mandiri dan sejahtera ... satu tahun kepemimpinan prabowo gibran menandai langkah baru menuju indonesia yang lebih mandiri dan sejahtera ... satu tahun kepemimmpinan prabowo_gibran benar benar terasa hasilnya dari mulai anak anak sekola dan petani dapat manfaatnya ini adalah bentuk ketja nyata bukan omongan belaka ... satu tahun pemerintahan prabowo gibran berjalan dengan hasil nyata dari ketahanan pangan pemerataan energi hingga kemajuan ekonomi rakyat,"mentioned, replied",positive,Positive: 100.0%,36,18,in: 18 | out: 0,54.0,in: 54.0 | out: 0.0
@gibran_tweet,kuat | langkah | mbg | rakyat | tahan,tuntutan rakyat dalam satu minggu ke depan dan tuntutan rakyat dalam satu tahun ke depan ayo sesuai pidato bapak presiden kemarin aspirasi ini kami sampaikan dengan jelas dan tertib buktikan anda sekalian bersama rakyat ... menakar arah pendidikan kesejahteraan guru dalam sorotan dari iswadi jelang satu tahun pemerintahan prabowo kita tidak bisa membangun sistem pendidikan yang kuat dengan fondasi guru guru yang tidak tenang hidupnya ... kemerdekaan palestina bukan lagi sekadar wacana penulis dari iswadi sama pada dosen universitas esa unggul jakarta selama puluhan tahun isu kemerdekaan palestina jadi satu dari sekian banyak luka kemanusiaan ... sepertinya mbg cukup lah satu tahun saja karena sudah berkali kali anak sekolah keracunann dan hal lain seperti masalah dana yang over budget yang juga masih belum valid ekonomi akar rumput bukan dengan mbg namun kasus koruptor yang dananya tidak pernah di bicarakan kemanana untuk apa ... maanfaat mbg sangat besar saya pernah berbicara sama pekerja salah satu dapur mbg dibalik itu saya patut apresiasi dan masih banyak banget pr soal mbg semoga diperbaiki lagi tahun depan perluas jangkauan ke swasta semoga berkah buat kalian,mentioned,positive,Positive: 48.5% | Neutral: 39.4% | Negative: 12.1%,33,23,in: 23 | out: 0,49.5,in: 49.5 | out: 0.0
@319ahw,bangsa | bukti | gizi | langkah | nyata,satu tahun prabowo gibran satu langkah besar menuju indonesia yang kuat mulai dari pangan cukup jalan terbuka rakyat sejahtera ... satu tahun yang sangat berarti bagi ku atas pencapaian pak prabowo gibran ini ... dalam satu tahun pemerintahan prabowo gibran berjalan dengan hasil nyata dari ketahanan pangan pemerataan energi hingga kemajuan ekonomi rakyat,"mentioned, replied",positive,Positive: 100.0%,18,9,in: 9 | out: 0,27.0,in: 27.0 | out: 0.0
