created_at,user_id_str,username,name,fast_followers_count,favourites_count,followers_count,following_count,listed_count,media_count,normal_followers_count,statuses_count,url,location,image_url,account_url
Tue Nov 06 15:19:37 +0000 2018,1059827652721205248,kulkulacino,pandaimoet🍉,0,4570,67,165,0,169,67,30277,-,-,https://pbs.twimg.com/profile_images/1836979992699490304/-5vAuKhp_normal.jpg,https://x.com/kulkulacino
Tue Nov 06 16:49:47 +0000 2018,1059850343725576192,Jeonnielle,Cherrytale🍒,0,299795,162,463,7,2401,162,41032,-,Thailand,https://pbs.twimg.com/profile_images/1961431938134413315/BI5DpVd-_normal.jpg,https://x.com/Jeonnielle
Wed Nov 07 03:10:13 +0000 2018,1060006480714186752,askDika,LBH👊 - Lembaga Baku Hantam👊,0,60898,18718,394,20,6734,18718,79231,https://t.co/0hAjjHJhpG,Jakarta Capital Region,https://pbs.twimg.com/profile_images/1967486074323951616/2sL-pqht_normal.jpg,https://x.com/askDika
Wed Nov 07 13:39:26 +0000 2018,1060164825488052224,fadlilazka19,Dil,0,1034,117,275,0,151,117,8022,-,-,https://pbs.twimg.com/profile_images/1065581745142001664/oyuWFJLa_normal.jpg,https://x.com/fadlilazka19
Thu Nov 08 00:53:32 +0000 2018,1060334468437749760,stellarinertial,stella🌟,0,79703,196,235,1,490,196,3766,-,(mentally still at) Wellington,https://pbs.twimg.com/profile_images/1977658677546086400/dKquN-SN_normal.jpg,https://x.com/stellarinertial
Thu Nov 08 03:46:53 +0000 2018,1060378095469752320,sunjaejubbb,💤,0,87,9,151,1,813,9,22215,-,ghibli world✨,https://pbs.twimg.com/profile_images/1984799557398773760/-RIn4ZJs_normal.jpg,https://x.com/sunjaejubbb
Thu Nov 08 04:13:43 +0000 2018,1060384848542453760,ansyaaafr,JOKI SKETCHUP AUTOCAD & 3D | ANJEM MOBIL,0,74983,540,561,1,711,540,15057,https://t.co/I3RwABuVw9,-,https://pbs.twimg.com/profile_images/1926796341956452353/YZKXx872_normal.jpg,https://x.com/ansyaaafr
Thu Nov 08 04:36:14 +0000 2018,1060390516083150849,Yopiluthfi2,yopiluthfi,0,25102,1129,1504,0,503,1129,13603,-,-,https://pbs.twimg.com/profile_images/1656174974284214272/4b62iJCd_normal.jpg,https://x.com/Yopiluthfi2
Thu Nov 08 18:34:05 +0000 2018,1060601367608274944,radar_bekasi,Radar Bekasi,0,9,288,22,2,866,288,8777,-,-,https://pbs.twimg.com/profile_images/1879400222197248001/77lkG3Yw_normal.jpg,https://x.com/radar_bekasi
Fri Nov 09 23:59:08 +0000 2018,1061045554682068992,selcouthmoons,cim🍦,0,1668,1336,1420,42,1276,1336,24150,-,Hufflepuff ,https://pbs.twimg.com/profile_images/1622428227926126594/wTFFU93G_normal.jpg,https://x.com/selcouthmoons
Sat Nov 10 05:23:45 +0000 2018,1061127249905078272,peluuk,͏͏͏͏ً,0,49159,137,143,1,4757,137,155883,-,Ommy.🩶,https://pbs.twimg.com/profile_images/1910946138355552257/HMYmtG5E_normal.jpg,https://x.com/peluuk
Sat Nov 10 14:32:42 +0000 2018,1061265395045195776,urtsn_,Jasmina patria,0,153,68,77,0,0,68,42,-,Jakarta selatan,https://pbs.twimg.com/profile_images/1972319430920339456/ajwaaPSA_normal.jpg,https://x.com/urtsn_
Sun Nov 11 03:04:10 +0000 2018,1061454508172034048,MapiohKecilFan,AnakanBambu,0,83418,169,2436,0,493,169,13231,-,Dimana-mana senang,https://pbs.twimg.com/profile_images/1260517613085626373/t8A-osxJ_normal.jpg,https://x.com/MapiohKecilFan
Sun Nov 11 03:13:34 +0000 2018,1061456872996143104,ptadwn_,T͎a͎a͎ ✦,0,73484,5795,4979,40,2723,5795,116517,-,Jaengels (She/her) ,https://pbs.twimg.com/profile_images/1969304271679340545/wFDinhGw_normal.jpg,https://x.com/ptadwn_
Sun Nov 11 04:15:33 +0000 2018,1061472473185628161,Tampandanbrni,adrav,0,158396,34,127,0,920,34,20701,-,-,https://pbs.twimg.com/profile_images/1294325416388222976/Jsz7AWSI_normal.jpg,https://x.com/Tampandanbrni
Sun Nov 11 11:55:25 +0000 2018,1061588203231014913,kosong_pangarep,kosong pangarep,0,242,1,3,0,10,1,366,-,-,https://pbs.twimg.com/profile_images/1982690574529392640/MmldsdmP_normal.jpg,https://x.com/kosong_pangarep
Sun Nov 11 12:28:38 +0000 2018,1061596563221278720,2Pramono,Rino Pramono,0,565,70,123,0,347,70,6525,-,-,https://pbs.twimg.com/profile_images/1966435812289241088/1erinOxw_normal.jpg,https://x.com/2Pramono
Sun Nov 11 21:57:17 +0000 2018,1061739665433083904,JagungmanisJ,jagungmanis jalan-jalan 🍉,0,11705,94,196,2,93,94,1501,https://t.co/2qgKi9aGqk,Indonesia,https://pbs.twimg.com/profile_images/1061740476284362754/Mzsb7_lD_normal.jpg,https://x.com/JagungmanisJ
Mon Nov 12 04:37:37 +0000 2018,1061840412392865792,ohmynaez,naninu,0,4801,82,346,1,130,82,5736,-,"City of London, London",https://pbs.twimg.com/profile_images/1987617348476715008/PRGsswdh_normal.jpg,https://x.com/ohmynaez
Mon Nov 12 05:37:47 +0000 2018,1061855555864551424,yoeandha01,yuanda 🍉🇵🇸,0,512,649,188,2,311,649,18361,-,-,https://pbs.twimg.com/profile_images/1704981253701980160/V2z745X7_normal.jpg,https://x.com/yoeandha01
